size	stride	elapsed(s)	cycles
4096	1	0.012296	3902
4096	2	0.013475	1165
4096	4	0.014646	1166
4096	8	0.015819	1170
4096	16	0.017001	1180
4096	32	0.018199	1195
4096	64	0.019445	1245
4096	128	0.020748	1302
4096	256	0.021831	1082
4096	512	0.022891	1059
4096	1024	0.023934	1040
4096	2048	0.024996	1061
8192	1	0.027352	2329
8192	2	0.029693	2328
8192	4	0.032031	2330
8192	8	0.034366	2331
8192	16	0.036709	2340
8192	32	0.039065	2354
8192	64	0.041456	2389
8192	128	0.043912	2454
8192	256	0.046504	2591
8192	512	0.048669	2163
8192	1024	0.050779	2108
8192	2048	0.052950	2170
8192	4096	0.055188	2236
16384	1	0.059891	4653
16384	2	0.064570	4653
16384	4	0.069238	4655
16384	8	0.073901	4656
16384	16	0.078567	4662
16384	32	0.083251	4681
16384	64	0.087965	4712
16384	128	0.092746	4779
16384	256	0.097654	4906
16384	512	0.102818	5163
16384	1024	0.107145	4326
16384	2048	0.111558	4411
16384	4096	0.116197	4638
16384	8192	0.120670	4471
32768	1	0.130103	9336
32768	2	0.139456	9305
32768	4	0.148793	9312
32768	8	0.158115	9309
32768	16	0.167449	9326
32768	32	0.176787	9333
32768	64	0.186169	9379
32768	128	0.195610	9439
32768	256	0.205155	9543
32768	512	0.214964	9808
32768	1024	0.225297	10331
32768	2048	0.234355	9057
32768	4096	0.244065	9708
32768	8192	0.253336	9269
32768	16384	0.262286	8949
65536	1	0.281190	18713
65536	2	0.300021	18736
65536	4	0.318842	18772
65536	8	0.337818	18951
65536	16	0.356912	19080
65536	32	0.376387	19468
65536	64	0.398171	21779
65536	128	0.419385	21211
65536	256	0.440216	20829
65536	512	0.461193	20975
65536	1024	0.483428	22234
65536	2048	0.524737	41307
65536	4096	0.587487	62748
65536	8192	0.607751	20262
65536	16384	0.626290	18538
65536	32768	0.644174	17883
131072	1	0.681980	37424
131072	2	0.719653	37485
131072	4	0.757318	37568
131072	8	0.795208	37841
131072	16	0.833382	38148
131072	32	0.872268	38873
131072	64	0.915796	43520
131072	128	0.958266	42465
131072	256	0.999564	41295
131072	512	1.040907	41340
131072	1024	0.084952	44042
131072	2048	0.174982	90028
131072	4096	0.297394	122410
131072	8192	0.422632	125236
131072	16384	0.461445	38810
131072	32768	0.498522	37075
131072	65536	0.534297	35773
262144	1	0.609878	74831
262144	2	0.685147	74895
262144	4	0.760254	74919
262144	8	0.835661	75311
262144	16	0.911484	75774
262144	32	0.988630	77121
262144	64	1.075360	86715
262144	128	0.162457	87088
262144	256	0.248810	86347
262144	512	0.335323	86510
262144	1024	0.426891	91565
262144	2048	0.534844	107951
262144	4096	0.782957	248110
262144	8192	1.027848	244889
262144	16384	0.276241	248391
262144	32768	0.353928	77685
262144	65536	0.428087	74157
262144	131072	0.499622	71533
524288	1	0.650614	149498
524288	2	0.801067	149703
524288	4	0.951035	149594
524288	8	1.101567	150343
524288	16	0.252934	151269
524288	32	0.406709	153726
524288	64	0.581477	174740
524288	128	0.763615	182122
524288	256	0.951272	187648
524288	512	1.130244	178967
524288	1024	0.331320	201071
524288	2048	0.564870	233547
524288	4096	1.052329	487456
524288	8192	0.551767	499435
524288	16384	1.030815	479046
524288	32768	0.528261	497444
524288	65536	0.701634	173371
524288	131072	0.850008	148371
524288	262144	0.993051	143042
1048576	1	1.294940	298901
1048576	2	0.595801	299369
1048576	4	0.895591	299045
1048576	8	1.196273	300307
1048576	16	0.498628	302166
1048576	32	0.805484	306759
1048576	64	1.154436	348898
1048576	128	0.518529	364062
1048576	256	0.896359	377814
1048576	512	1.253860	357492
1048576	1024	0.655232	401366
1048576	2048	1.120600	465364
1048576	4096	1.098414	977810
1048576	8192	0.934007	835590
1048576	16384	1.905841	971831
1048576	32768	1.879902	974058
1048576	65536	1.877101	997196
1048576	131072	1.223687	346584
1048576	262144	0.520340	296651
1048576	524288	0.806440	286098
2097152	1	1.410312	597893
2097152	2	1.012072	598776
2097152	4	0.611711	598151
2097152	8	1.213211	600752
2097152	16	0.818067	604480
2097152	32	1.431913	613652
2097152	64	1.129957	697939
2097152	128	0.857908	727893
2097152	256	1.613664	755724
2097152	512	1.327929	714248
2097152	1024	1.129841	801903
2097152	2048	1.057191	927343
2097152	4096	2.044048	1986851
2097152	8192	1.874044	1829991
2097152	16384	2.861583	1987535
2097152	32768	2.903138	2041553
2097152	65536	2.788338	1885159
2097152	131072	2.630184	1841843
2097152	262144	1.323227	693039
2097152	524288	0.916555	593325
2097152	1048576	1.488781	572224
4194304	1	1.697324	1196587
4194304	2	1.901609	1198316
4194304	4	2.102646	1198059
4194304	8	1.307798	1203653
4194304	16	1.520155	1211599
4194304	32	1.755369	1234828
4194304	64	2.193250	1437658
4194304	128	1.808832	1615451
4194304	256	2.503983	1695080
4194304	512	2.151853	1647831
4194304	1024	2.023016	1871139
4194304	2048	2.158288	2135257
4194304	4096	4.077515	3919217
4194304	8192	3.609545	3532023
4194304	16384	4.627226	4017674
4194304	32768	4.696045	4068816
4194304	65536	4.657129	3961080
4194304	131072	4.335292	3678159
4194304	262144	4.307272	3971978
4194304	524288	1.693497	1386222
4194304	1048576	1.880117	1186617
4194304	2097152	2.024538	1144419
