size	stride	elapsed(s)	cycles
4096	1	0.002374	2375
4096	2	0.002353	2353
4096	4	0.002372	2372
4096	8	0.002343	2343
4096	16	0.001680	1680
4096	32	0.000981	981
4096	64	0.000999	999
4096	128	0.000996	996
4096	256	0.000916	916
4096	512	0.000897	897
4096	1024	0.000910	910
4096	2048	0.000958	958
8192	1	0.002003	2003
8192	2	0.001971	1971
8192	4	0.001972	1971
8192	8	0.001970	1971
8192	16	0.001974	1975
8192	32	0.001952	1952
8192	64	0.001972	1972
8192	128	0.001928	1928
8192	256	0.001993	1993
8192	512	0.001824	1824
8192	1024	0.001798	1798
8192	2048	0.001851	1851
8192	4096	0.002002	2002
16384	1	0.003962	3962
16384	2	0.003943	3942
16384	4	0.003941	3942
16384	8	0.003941	3941
16384	16	0.003946	3946
16384	32	0.003932	3932
16384	64	0.003928	3928
16384	128	0.003941	3941
16384	256	0.003968	3967
16384	512	0.003982	3982
16384	1024	0.003666	3667
16384	2048	0.003713	3712
16384	4096	0.003997	3997
16384	8192	0.004012	4012
32768	1	0.007898	7898
32768	2	0.007886	7886
32768	4	0.007886	7885
32768	8	0.007892	7891
32768	16	0.007916	7916
32768	32	0.007912	7911
32768	64	0.007909	7910
32768	128	0.007874	7874
32768	256	0.007881	7881
32768	512	0.007696	7695
32768	1024	0.007964	7964
32768	2048	0.007491	7492
32768	4096	0.008120	8120
32768	8192	0.007994	7994
32768	16384	0.008024	8024
65536	1	0.015823	15823
65536	2	0.015859	15859
65536	4	0.015847	15847
65536	8	0.015931	15930
65536	16	0.016040	16040
65536	32	0.016235	16235
65536	64	0.018072	18073
65536	128	0.017567	17566
65536	256	0.017845	17846
65536	512	0.018318	18318
65536	1024	0.018431	18430
65536	2048	0.019174	19174
65536	4096	0.051586	51586
65536	8192	0.016238	16238
65536	16384	0.015987	15986
65536	32768	0.016088	16088
131072	1	0.031695	31695
131072	2	0.031780	31781
131072	4	0.031803	31802
131072	8	0.031979	31979
131072	16	0.032278	32278
131072	32	0.032584	32584
131072	64	0.036320	36320
131072	128	0.035213	35211
131072	256	0.035635	35635
131072	512	0.035780	35779
131072	1024	0.036164	36164
131072	2048	0.038956	38956
131072	4096	0.096193	96193
131072	8192	0.093463	93463
131072	16384	0.032517	32517
131072	32768	0.031971	31971
131072	65536	0.032054	32054
262144	1	0.063383	63384
262144	2	0.063446	63446
262144	4	0.063588	63588
262144	8	0.064016	64016
262144	16	0.064759	64759
262144	32	0.065945	65945
262144	64	0.070903	70902
262144	128	0.069898	69898
262144	256	0.069440	69440
262144	512	0.069357	69357
262144	1024	0.075941	75941
262144	2048	0.089667	89667
262144	4096	0.168238	168238
262144	8192	0.188651	188651
262144	16384	0.193544	193545
262144	32768	0.065036	65036
262144	65536	0.063941	63941
262144	131072	0.064088	64088
