size	stride	elapsed(s)	cycles
4096	1	0.009425	2503
4096	2	0.011939	2486
4096	4	0.014443	2494
4096	8	0.016950	2500
4096	16	0.018239	1285
4096	32	0.019435	1194
4096	64	0.020665	1229
4096	128	0.021961	1295
4096	256	0.023049	1087
4096	512	0.024109	1059
4096	1024	0.025153	1042
4096	2048	0.026213	1058
8192	1	0.028568	2328
8192	2	0.030911	2330
8192	4	0.033248	2330
8192	8	0.035589	2336
8192	16	0.037932	2340
8192	32	0.040290	2355
8192	64	0.042684	2391
8192	128	0.045142	2457
8192	256	0.047729	2586
8192	512	0.049893	2163
8192	1024	0.052003	2108
8192	2048	0.054175	2170
8192	4096	0.056411	2235
16384	1	0.061150	4687
16384	2	0.065873	4698
16384	4	0.070611	4725
16384	8	0.075398	4780
16384	16	0.080245	4842
16384	32	0.085047	4799
16384	64	0.089894	4844
16384	128	0.094666	4770
16384	256	0.099578	4910
16384	512	0.104748	5168
16384	1024	0.109075	4325
16384	2048	0.113489	4412
16384	4096	0.118126	4636
16384	8192	0.122598	4470
32768	1	0.132035	9338
32768	2	0.141436	9353
32768	4	0.150839	9378
32768	8	0.160300	9447
32768	16	0.169958	9650
32768	32	0.179410	9448
32768	64	0.188929	9516
32768	128	0.198351	9420
32768	256	0.207898	9545
32768	512	0.217710	9810
32768	1024	0.228047	10334
32768	2048	0.237105	9057
32768	4096	0.246812	9705
32768	8192	0.256082	9269
32768	16384	0.265025	8941
65536	1	0.283896	18678
65536	2	0.302694	18704
65536	4	0.321433	18691
65536	8	0.340234	18776
65536	16	0.359115	18867
65536	32	0.378086	18962
65536	64	0.399303	21213
65536	128	0.420674	21368
65536	256	0.441640	20964
65536	512	0.462589	20947
65536	1024	0.484784	22193
65536	2048	0.508067	23281
65536	4096	0.565337	57269
65536	8192	0.584761	19421
65536	16384	0.603304	18542
65536	32768	0.621200	17894
131072	1	0.658905	37327
131072	2	0.696462	37369
131072	4	0.733861	37305
131072	8	0.771335	37426
131072	16	0.808895	37535
131072	32	0.846691	37782
131072	64	0.888823	42124
131072	128	0.931668	42841
131072	256	0.973489	41817
131072	512	1.014998	41507
131072	1024	0.059021	44020
131072	2048	0.106457	47434
131072	4096	0.222138	115679
131072	8192	0.330144	108004
131072	16384	0.368961	38815
131072	32768	0.406043	37081
131072	65536	0.441806	35761
262144	1	0.517211	74656
262144	2	0.592319	74735
262144	4	0.667073	74567
262144	8	0.741884	74716
262144	16	0.816886	74954
262144	32	0.892501	75589
262144	64	0.977679	85164
262144	128	1.064373	86685
262144	256	0.151075	86697
262144	512	0.237603	86523
262144	1024	0.329244	91639
262144	2048	0.434854	105607
262144	4096	0.683912	249056
262144	8192	0.915112	231198
262144	16384	1.142785	227670
262144	32768	0.220442	77656
262144	65536	0.294605	74161
262144	131072	0.366130	71524
524288	1	0.516949	149328
524288	2	0.667203	149505
524288	4	0.816804	149228
524288	8	0.966610	149618
524288	16	1.116891	150186
524288	32	0.268762	151821
524288	64	0.442444	173655
524288	128	0.624686	182226
524288	256	0.811417	186721
524288	512	0.989500	178078
524288	1024	1.188904	199399
524288	2048	0.420471	231565
524288	4096	0.927257	506782
524288	8192	1.405567	478308
524288	16384	0.843874	438305
524288	32768	1.291462	447586
524288	65536	0.464724	173260
524288	131072	0.613041	148315
524288	262144	0.756087	143044
1048576	1	1.058043	298959
1048576	2	0.358996	299458
1048576	4	0.658897	299156
1048576	8	0.959739	300467
1048576	16	1.262133	302205
1048576	32	0.567110	304881
1048576	64	0.915897	348734
1048576	128	1.280388	364462
1048576	256	0.658809	378403
1048576	512	1.016074	357256
1048576	1024	0.417271	401191
1048576	2048	0.880739	463464
1048576	4096	1.898618	1017876
1048576	8192	1.882983	984362
1048576	16384	1.833143	950157
1048576	32768	1.764539	931394
1048576	65536	1.767202	1002659
1048576	131072	1.113714	346509
1048576	262144	0.410401	296686
1048576	524288	0.696482	286079
2097152	1	1.300329	597864
2097152	2	0.902266	598949
2097152	4	1.502107	598352
2097152	8	1.103774	600918
2097152	16	0.708410	604260
2097152	32	1.318349	609747
2097152	64	1.015337	696885
2097152	128	0.743794	728399
2097152	256	1.500521	756695
2097152	512	1.214403	713866
2097152	1024	1.016160	801748
2097152	2048	0.942216	926049
2097152	4096	2.967492	2025270
2097152	8192	2.953033	1985535
2097152	16384	2.838670	1885634
209
