size	stride	elapsed(s)	cycles
4096	1	0.009216	1383
4096	2	0.010613	1380
4096	4	0.012005	1387
4096	8	0.013397	1388
4096	16	0.014796	1396
4096	32	0.016217	1419
4096	64	0.017674	1455
4096	128	0.019211	1535
4096	256	0.020376	1163
4096	512	0.021437	1059
4096	1024	0.022480	1040
4096	2048	0.023540	1059
8192	1	0.025898	2331
8192	2	0.028240	2329
8192	4	0.030575	2328
8192	8	0.032913	2333
8192	16	0.035254	2338
8192	32	0.037611	2354
8192	64	0.040005	2392
8192	128	0.042462	2456
8192	256	0.045048	2584
8192	512	0.047211	2161
8192	1024	0.049323	2110
8192	2048	0.051492	2168
8192	4096	0.053731	2237
16384	1	0.058435	4654
16384	2	0.063113	4652
16384	4	0.067779	4653
16384	8	0.072442	4656
16384	16	0.077120	4673
16384	32	0.081798	4675
16384	64	0.086512	4712
16384	128	0.091293	4779
16384	256	0.096199	4905
16384	512	0.101365	5164
16384	1024	0.105692	4326
16384	2048	0.110104	4410
16384	4096	0.114742	4636
16384	8192	0.119215	4471
32768	1	0.128623	9310
32768	2	0.137975	9304
32768	4	0.147302	9303
32768	8	0.156629	9314
32768	16	0.165954	9318
32768	32	0.175298	9339
32768	64	0.184693	9392
32768	128	0.194149	9453
32768	256	0.203695	9544
32768	512	0.213504	9807
32768	1024	0.223840	10334
32768	2048	0.232897	9056
32768	4096	0.242611	9713
32768	8192	0.251885	9273
32768	16384	0.260830	8944
65536	1	0.279670	18649
65536	2	0.298383	18619
65536	4	0.317045	18614
65536	8	0.335712	18642
65536	16	0.354409	18684
65536	32	0.373266	18849
65536	64	0.394218	20947
65536	128	0.415536	21315
65536	256	0.436383	20845
65536	512	0.457383	20998
65536	1024	0.479592	22207
65536	2048	0.518985	39392
65536	4096	0.581121	62134
65536	8192	0.600944	19821
65536	16384	0.620237	19292
65536	32768	0.638119	17880
131072	1	0.675859	37359
131072	2	0.713418	37371
131072	4	0.750889	37376
131072	8	0.788506	37569
131072	16	0.826267	37736
131072	32	0.864532	38252
131072	64	0.907356	42816
131072	128	0.951825	44464
131072	256	0.993103	41275
131072	512	1.034435	41330
131072	1024	0.078462	44025
131072	2048	0.145776	67312
131072	4096	0.267738	121959
131072	8192	0.388715	120976
131072	16384	0.427553	38836
131072	32768	0.464633	37078
131072	65536	0.500397	35762
262144	1	0.575867	74721
262144	2	0.651019	74778
262144	4	0.725916	74709
262144	8	0.801037	75026
262144	16	0.876469	75383
262144	32	0.952920	76426
262144	64	1.039200	86266
262144	128	0.129597	90388
262144	256	0.216311	86708
262144	512	0.303236	86922
262144	1024	0.395784	92545
262144	2048	0.501045	105259
262144	4096	0.746114	245067
262144	8192	0.986839	240724
262144	16384	1.238755	251914
262144	32768	0.316442	77686
262144	65536	0.390600	74156
262144	131072	0.462124	71522
524288	1	0.613028	149413
524288	2	0.763328	149554
524288	4	0.913154	149453
524288	8	1.063394	150052
524288	16	0.214360	150871
524288	32	0.367687	153278
524288	64	0.542719	175005
524288	128	0.730725	187990
524288	256	0.918614	187880
524288	512	1.097649	179029
524288	1024	0.298769	201117
524288	2048	0.530624	231852
524288	4096	1.021298	490671
524288	8192	0.501628	480327
524288	16384	0.988647	487017
524288	32768	1.488720	500071
524288	65536	0.661973	173252
524288	131072	0.810284	148309
524288	262144	0.953323	143038
1048576	1	1.255154	298837
1048576	2	0.555844	299197
1048576	4	0.855553	298962
1048576	8	1.156138	300207
1048576	16	0.458218	301892
1048576	32	0.765062	306747
1048576	64	1.115404	350289
1048576	128	0.492263	376830
1048576	256	0.870233	377954
1048576	512	1.227931	357688
1048576	1024	0.629451	401515
1048576	2048	1.094231	464776
1048576	4096	1.089081	994847
1048576	8192	1.052471	963388
1048576	16384	1.049650	997177
1048576	32768	1.022637	972985
1048576	65536	1.019558	996919
1048576	131072	0.366069	346509
1048576	262144	0.662693	296622
1048576	524288	0.948773	286078
2097152	1	1.552528	597784
2097152	2	1.154096	598584
2097152	4	0.753735	598152
2097152	8	1.355318	600836
2097152	16	0.959956	604262
2097152	32	1.574535	614387
2097152	64	1.276711	702074
2097152	128	1.033054	756286
2097152	256	0.788830	755745
2097152	512	1.503408	714563
2097152	1024	1.305589	802172
2097152	2048	1.232240	926644
2097152	4096	2.173782	1941536
2097152	8192	2.074127	1900341
2097152	16384	2.056100	1981970
2097152	32768	2.040705	1984602
2097152	65536	2.013063	1972317
2097152	131072	2.002642	1989575
2097152	262144	0.695676	693031
2097152	524288	1.288907	593229
2097152	1048576	0.861058	572150
4194304	1	2.069481	1196453
4194304	2	1.273389	1197937
4194304	4	1.474540	1198175
4194304	8	1.680019	1203982
4194304	16	1.892324	1211551
4194304	32	2.130155	1237447
4194304	64	1.587039	1456670
4194304	128	2.283598	1696425
4194304	256	2.018362	1734692
4194304	512	1.716950	1698551
4194304	1024	2.669623	1952652
4194304	2048	2.953883	2284246
4194304	4096	4.743276	3789382
4194304	8192	4.770170	4026887
4194304	16384	5.226258	4456084
4194304	32768	4.658272	4432011
4194304	65536	5.226210	4567935
4194304	131072	4.388681	4162468
4194304	262144	4.386731	3998048
4194304	524288	1.772763	1386030
4194304	1048576	2.007527	1234762
4194304	2097152	1.151817	1144288
