# 1
1 0.000101 0.000076 0.001160 0.015734 
# 2
2 0.000079 0.000099 0.002045 0.031384 
# 4
4 0.000028 0.000050 0.003773 0.062728 
# 8
8 0.000021 0.000056 0.006278 0.125462 
# 16
16 0.000009 0.000052 0.010635 0.250871 
# 32
32 0.000023 0.000051 0.016924 0.501755 
# 64
64 0.000017 0.000035 0.015982 1.001972 
# 128
128 0.000010 0.000025 0.000224 1.066016 
# 256
256 0.000007 0.000013 0.000115 1.085755 
# 512
512 0.000003 0.000005 0.000050 1.123049 
# 1024
1024 0.000003 0.000003 0.000022 1.075789 
# 2048
2048 0.000005 0.000004 0.000009 1.061976 
# 4096
4096 0.000006 0.000004 0.000016 2.027159 
# 8192
8192 0.0 0.000005 0.000002 0.000094 
# 16384
16384 0.0 0.0 0.000002 0.000001 
# 32768
32768 0.0 0.0 0.0 0.000001 
