size	stride	elapsed(s)	cycles
4096	1	0.908800	909
4096	2	0.870854	871
4096	4	0.828160	828
4096	8	0.837261	837
4096	16	0.835664	835
4096	32	0.836093	836
4096	64	0.791956	792
4096	128	0.744461	745
4096	256	0.688885	689
4096	512	0.660381	660
4096	1024	0.658382	659
4096	2048	0.726725	727
8192	1	0.1755147	1755
8192	2	0.1665764	1666
8192	4	0.1673685	1674
8192	8	0.1672358	1672
8192	16	0.1699096	1699
8192	32	0.1682670	1683
8192	64	0.1705779	1705
8192	128	0.1558811	1558
8192	256	0.1488405	1488
8192	512	0.1411204	1411
8192	1024	0.1320590	1320
8192	2048	0.1439571	1440
8192	4096	0.1502360	1502
16384	1	0.3447624	3448
16384	2	0.3342852	3343
16384	4	0.3339703	3339
16384	8	0.3339569	3339
16384	16	0.3338487	3338
16384	32	0.3350383	3351
16384	64	0.3352543	3353
16384	128	0.3347959	3348
16384	256	0.3133482	3133
16384	512	0.3004732	3005
16384	1024	0.2757038	2757
16384	2048	0.2901879	2902
16384	4096	0.3147914	3148
16384	8192	0.3018969	3018
32768	1	0.6791727	6792
32768	2	0.6679516	6680
32768	4	0.6682215	6682
32768	8	0.6673295	6673
32768	16	0.6664978	6665
32768	32	0.6706943	6707
32768	64	0.6659385	6659
32768	128	0.6693360	6694
32768	256	0.6782147	6782
32768	512	0.6386444	6386
32768	1024	0.6107922	6108
32768	2048	0.5951899	5952
32768	4096	0.6503616	6504
32768	8192	0.6294808	6295
32768	16384	0.6005081	6005
65536	1	0.13425998	13426
65536	2	0.13289597	13290
65536	4	0.13260986	13261
65536	8	0.13223089	13224
65536	16	0.13237455	13238
65536	32	0.13332240	13332
65536	64	0.14225279	14225
65536	128	0.14111018	14111
65536	256	0.14135939	14136
65536	512	0.14245356	14245
65536	1024	0.13367894	13367
65536	2048	0.13886824	13887
65536	4096	0.48342039	48342
65536	8192	0.12555371	12556
65536	16384	0.12587271	12587
65536	32768	0.12007911	12008
131072	1	0.26751520	26752
131072	2	0.26668820	26669
131072	4	0.26488198	26488
131072	8	0.26373230	26373
131072	16	0.26322028	26322
131072	32	0.26634223	26634
131072	64	0.28330064	28330
131072	128	0.28224518	28225
131072	256	0.28265211	28265
131072	512	0.28127533	28127
131072	1024	0.29000999	29001
131072	2048	0.31971810	31972
131072	4096	0.110485766	110485
131072	8192	0.101676817	101677
131072	16384	0.25190787	25191
131072	32768	0.25149210	25149
131072	65536	0.24003757	24004
262144	1	0.53517412	53517
262144	2	0.53403763	53404
262144	4	0.53221207	53222
262144	8	0.53060280	53061
262144	16	0.52950287	52950
262144	32	0.53488226	53488
262144	64	0.57065289	57066
262144	128	0.57482643	57483
262144	256	0.59321525	59321
262144	512	0.58654108	58654
262144	1024	0.60485316	60485
262144	2048	0.70559418	70559
262144	4096	0.226157813	226158
262144	8192	0.238998363	238998
262144	16384	0.202628619	202628
262144	32768	0.50308921	50309
262144	65536	0.50360693	50361
262144	131072	0.48076272	48076
524288	1	0.107104751	107105
524288	2	0.106696909	106697
524288	4	0.106250915	106251
524288	8	0.105830966	105831
524288	16	0.105948596	105949
524288	32	0.107532999	107533
524288	64	0.114154451	114154
524288	128	0.127095326	127096
524288	256	0.151777291	151777
524288	512	0.156217135	156217
524288	1024	0.157342958	157343
524288	2048	0.139952567	139953
524288	4096	0.463303238	463303
524288	8192	0.461037221	461037
524288	16384	0.470114280	470114
524288	32768	0.345163646	345164
524288	65536	0.108560687	108561
524288	131072	0.100720428	100721
524288	262144	0.96206807	96207
1048576	1	0.214470649	214471
1048576	2	0.213435011	213435
1048576	4	0.212657356	212657
1048576	8	0.212059757	212060
1048576	16	0.212486988	212487
1048576	32	0.215912290	215912
1048576	64	0.229118010	229118
1048576	128	0.261087518	261088
1048576	256	0.320281055	320281
1048576	512	0.334150477	334151
1048576	1024	0.341622015	341622
1048576	2048	0.303559375	303559
1048576	4096	0.954713546	954714
1048576	8192	0.966118688	966118
1048576	16384	0.930344469	930345
1048576	32768	0.881859305	881859
1048576	65536	0.524965564	524965
1048576	131072	0.216761713	216761
1048576	262144	0.201799275	201799
1048576	524288	0.192555165	192555
2097152	1	0.428632291	428632
2097152	2	0.427010346	427010
2097152	4	0.425314861	425314
2097152	8	0.424139006	424139
2097152	16	0.424784763	424785
2097152	32	0.431964373	431965
2097152	64	0.458241356	458241
2097152	128	0.522322121	522322
2097152	256	0.641469914	641470
2097152	512	0.672110480	672111
2097152	1024	0.684163504	684163
2097152	2048	0.569245710	569246
2097152	4096	1.939775829	1939776
2097152	8192	1.934147351	1934147
2097152	16384	1.869732409	1869732
2097152	32768	1.818590416	1818590
2097152	65536	1.749127674	1749127
2097152	131072	1.27803594	1027803
2097152	262144	0.433829301	433829
2097152	524288	0.403289018	403289
2097152	1048576	0.384711859	384711
4194304	1	0.856759122	856759
4194304	2	0.854192598	854193
4194304	4	0.850459741	850459
4194304	8	0.848506503	848507
4194304	16	0.852935914	852936
4194304	32	0.875087896	875088
4194304	64	0.954172696	954173
4194304	128	1.100538095	1100538
4194304	256	1.398153123	1398153
4194304	512	1.422844961	1422845
4194304	1024	1.456203698	1456203
4194304	2048	1.388724280	1388725
4194304	4096	3.891423288	3891424
4194304	8192	3.861801848	3861802
4194304	16384	3.820788388	3820788
4194304	32768	3.897499844	3897499
4194304	65536	3.694554134	3694554
4194304	131072	3.567246953	3567247
4194304	262144	2.452515005	2452515
4194304	524288	0.868078729	868079
4194304	1048576	0.806934514	806935
4194304	2097152	0.769854587	769855
