size	stride	elapsed(s)	cycles
4096	1	0.911003	911
4096	2	0.841404	842
4096	4	0.851463	851
4096	8	0.836745	837
4096	16	0.836578	837
4096	32	0.855307	856
4096	64	0.808179	808
4096	128	0.744693	745
4096	256	0.689487	690
4096	512	0.660066	660
4096	1024	0.658537	659
4096	2048	0.697011	697
8192	1	0.1763625	1763
8192	2	0.1674453	1675
8192	4	0.1672823	1673
8192	8	0.1669004	1669
8192	16	0.1699989	1700
8192	32	0.1668779	1669
8192	64	0.1683136	1683
8192	128	0.1592255	1593
8192	256	0.1485713	1486
8192	512	0.1397377	1397
8192	1024	0.1333324	1334
8192	2048	0.1434708	1435
8192	4096	0.1534502	1534
16384	1	0.3449679	3449
16384	2	0.3373360	3374
16384	4	0.3398546	3399
16384	8	0.3337988	3338
16384	16	0.3357597	3357
16384	32	0.3270464	3270
16384	64	0.3358565	3358
16384	128	0.3364513	3364
16384	256	0.3095949	3095
16384	512	0.3004278	3004
16384	1024	0.2756569	2757
16384	2048	0.2878375	2878
16384	4096	0.3177121	3178
16384	8192	0.3003409	3003
32768	1	0.6799113	6799
32768	2	0.6685528	6686
32768	4	0.6715383	6715
32768	8	0.6683005	6683
32768	16	0.6677072	6677
32768	32	0.6658334	6659
32768	64	0.6533982	6534
32768	128	0.6726320	6726
32768	256	0.6860109	6860
32768	512	0.6206696	6207
32768	1024	0.5749678	5750
32768	2048	0.5965288	5965
32768	4096	0.6352271	6353
32768	8192	0.7971855	7972
32768	16384	0.6001206	6001
65536	1	0.13430768	13431
65536	2	0.13347648	13348
65536	4	0.13271736	13272
65536	8	0.13213147	13213
65536	16	0.13256550	13256
65536	32	0.13276616	13276
65536	64	0.14233642	14234
65536	128	0.14057558	14058
65536	256	0.14160577	14161
65536	512	0.14204032	14204
65536	1024	0.13299963	13300
65536	2048	0.23818086	23818
65536	4096	0.49312452	49312
65536	8192	0.12939631	12940
65536	16384	0.12559739	12560
65536	32768	0.12004859	12005
131072	1	0.26851634	26852
131072	2	0.26695205	26695
131072	4	0.26617493	26618
131072	8	0.26464657	26465
131072	16	0.26609357	26609
131072	32	0.26506167	26506
131072	64	0.28348933	28349
131072	128	0.28075809	28076
131072	256	0.28104073	28104
131072	512	0.28198376	28198
131072	1024	0.28120921	28120
131072	2048	0.63673228	63673
131072	4096	0.111629533	111630
131072	8192	0.97234004	97234
131072	16384	0.25143453	25143
131072	32768	0.25154658	25155
131072	65536	0.24153693	24154
262144	1	0.53529560	53529
262144	2	0.53384929	53385
262144	4	0.53109539	53109
262144	8	0.53058902	53058
262144	16	0.53085704	53086
262144	32	0.53164975	53165
262144	64	0.56406996	56407
262144	128	0.57331933	57331
262144	256	0.59064015	59064
262144	512	0.58624480	58624
262144	1024	0.59803960	59804
262144	2048	0.144288034	144288
262144	4096	0.233177472	233177
262144	8192	0.218673454	218674
262144	16384	0.197389309	197390
262144	32768	0.50379216	50379
262144	65536	0.50367828	50368
262144	131072	0.48078328	48079
524288	1	0.107100927	107101
524288	2	0.106858421	106858
524288	4	0.106841684	106842
524288	8	0.106430887	106431
524288	16	0.106901781	106902
524288	32	0.106822648	106822
524288	64	0.112280424	112281
524288	128	0.126486247	126486
524288	256	0.150753041	150753
524288	512	0.155342784	155343
524288	1024	0.158212531	158213
524288	2048	0.242997009	242997
524288	4096	0.480196313	480196
524288	8192	0.451912154	451912
524288	16384	0.439884295	439884
524288	32768	0.258355167	258355
524288	65536	0.108563885	108564
524288	131072	0.100833751	100834
524288	262144	0.96169777	96170
1048576	1	0.214330400	214331
1048576	2	0.214194663	214194
1048576	4	0.212967604	212968
1048576	8	0.212691850	212692
1048576	16	0.213553401	213554
1048576	32	0.213766344	213766
1048576	64	0.225030754	225031
1048576	128	0.261009982	261010
1048576	256	0.320152458	320153
1048576	512	0.334266694	334266
1048576	1024	0.341239608	341240
1048576	2048	0.451801431	451802
1048576	4096	0.970213236	970213
1048576	8192	0.946176040	946176
1048576	16384	1.39654033	1039654
1048576	32768	0.924416418	924417
1048576	65536	0.575559514	575560
1048576	131072	0.216993866	216994
1048576	262144	0.201671534	201672
1048576	524288	0.192451018	192451
2097152	1	0.428309273	428309
2097152	2	0.427151704	427152
2097152	4	0.425703249	425704
2097152	8	0.424632930	424632
2097152	16	0.425799027	425799
2097152	32	0.427786536	427786
2097152	64	0.448546083	448546
2097152	128	0.522665287	522665
2097152	256	0.641617293	641617
2097152	512	0.671952588	671953
2097152	1024	0.687405015	687404
2097152	2048	0.680473020	680473
2097152	4096	1.939926954	1939927
2097152	8192	1.944780328	1944780
2097152	16384	1.997773293	1997773
2097152	32768	1.903069685	1903070
2097152	65536	1.890969600	1890970
2097152	131072	1.605984844	1605985
2097152	262144	0.433915671	433915
2097152	524288	0.403327808	403327
2097152	1048576	0.385079136	385079
4194304	1	0.856787817	856787
4194304	2	0.854696898	854696
4194304	4	0.851546290	851546
4194304	8	0.850525332	850525
4194304	16	0.854599288	854600
4194304	32	0.867345000	867345
4194304	64	0.936794813	936795
4194304	128	1.106416809	1106417
4194304	256	1.360076262	1360077
4194304	512	1.415428832	1415428
4194304	1024	1.427375743	1427376
4194304	2048	1.365231407	1365231
4194304	4096	3.891099275	3891099
4194304	8192	3.918602051	3918602
4194304	16384	3.970205467	3970205
4194304	32768	3.826786373	3826786
4194304	65536	3.794830596	3794831
4194304	131072	3.732916825	3732917
4194304	262144	2.831424603	2831424
4194304	524288	0.867999712	867999
4194304	1048576	0.806939520	806939
4194304	2097152	0.769870575	769870
